Target,Prompt,Tweets,Tweets,Tweets
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax cut.","Mr. President, I hope you will join us on this important issue.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax cut."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for the wealthy.","Mr. President, I hope you will join me in the fight to end the war in Yemen.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for the wealthy."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive bailout.","Mr. President, I hope you will join me in the fight for justice.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive bailout."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for billionaires.","Mr. President, I hope you will join me in the fight for justice for all African Americans.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for billionaires."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for the rich.","Mr. President, I hope you will join me in the fight for justice for all.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive tax break for the rich."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't have it all.","Mr. President, I hope you will join me in the fight to end the war in Syria.","Mr. President, stop trying to suppress the American people. You can't have it all."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive bailout from your billionaire friends and family.","Mr. President, I hope you will join me in the fight for justice for all African-Americans.","Mr. President, stop trying to suppress the American people. You can't be an American company only when you want a massive bailout from your billionaire friends and family."
SenSanders,"Mr. President,","Mr. President, let me be clear about what this is all about.","Mr. President, I hope you will join me in the fight for justice for all African-American children.","Mr. President, let me be clear about what this is all about."
SenSanders,"Mr. President,","Mr. President, let me be clear: the American people are angry. They want to know what's going on behind the scenes at the @FederalReserve.","Mr. President, I hope you will join me in the fight for justice for all African-American people.","Mr. President, let me be clear: the American people are angry. They want to know what's going on behind the scenes at the @FederalReserve."
SenSanders,"Mr. President,","Mr. President, stop trying to suppress the American people. This is a very serious issue.","Mr. President, I am deeply saddened by the passing of Rep. Paul Ryan. I stand with him on this issue.","Mr. President, stop trying to suppress the American people. This is a very serious issue."
