Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, I just uploaded ""JRE #292 - Eddie Bravo"" on Vimeo:","Jamie, let's do this shit, bitches!","Jamie, let's do this shit, bitches!"
joerogan,"Jamie,","Jamie, I would love to have you on.","Jamie, let's do this shit! #Repost @tonyhinchcliffe with rep0stapp","Jamie, let's do this shit! #Repost @tonyhinchcliffe with rep0stapp"
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let me know if and when you're in LA!","Jamie, let's do this shit up!","Jamie, let's do this shit up!"
joerogan,"Jamie,","Jamie, I would love to have you on the podcast!","Jamie, what the fuck are you talking about?","Jamie, what the fuck are you talking about?"
joerogan,"Jamie,","Jamie, the great and powerful @bryancallen joins us on the podcast today at 3pm pacific!","Jamie, you dirty bitches! @eddiebravo is here!","Jamie, you dirty bitches! @eddiebravo is here!"
joerogan,"Jamie,","Jamie, I would love to have you on.","Jamie, you're a bad motherfucker.","Jamie, you're a bad motherfucker."
joerogan,"Jamie,","Jamie, I would love to have you on the podcast if you're ever in LA!","Jamie, you're a fucking bad motherfucker.","Jamie, you're a fucking bad motherfucker."
joerogan,"Jamie,","Jamie, I would love to have you on!","Jamie, you silly bitches! Let's do this shit!","Jamie, you silly bitches! Let's do this shit!"
joerogan,"Jamie,","Jamie, I would LOVE to have you on my podcast if you're ever in LA!","Jamie, you're a fucking bad motherfucker.","Jamie, you're a fucking bad motherfucker."
joerogan,"Jamie,","Jamie, I had a great time talking to you on the podcast today!","Jamie, you fucking savages! Let's do this shit!","Jamie, you fucking savages! Let's do this shit!"
