Target,Prompt,Tweets,Tweets,Tweets
joerogan,"Jamie,","Jamie, let's do this shit, bitches!","Jamie, I just uploaded ""JRE #292 - Eddie Bravo"" on Vimeo:","Jamie, let’s do it!"
joerogan,"Jamie,","Jamie, let's do this shit! #Repost @tonyhinchcliffe with rep0stapp","Jamie, I would love to have you on.","Jamie, let’s do it!"
joerogan,"Jamie,","Jamie, let's do this shit up!","Jamie, I would love to have you on my podcast. Let me know if and when you're in LA!","Jamie, let's do a podcast! I'm at the @icehousecomedy in Pasadena this Friday night with @duncantrussell @TonyHinchcliffe & @IanEdwardsComic"
joerogan,"Jamie,","Jamie, what the fuck are you talking about?","Jamie, I would love to have you on the podcast!","Jamie, you're a bad motherfucker."
joerogan,"Jamie,","Jamie, you dirty bitches! @eddiebravo is here!","Jamie, the great and powerful @bryancallen joins us on the podcast today at 3pm pacific!","Jamie, let’s do it!"
joerogan,"Jamie,","Jamie, you're a bad motherfucker.","Jamie, I would love to have you on.","Jamie, I had a great time talking to you on the podcast today. I hope you enjoy it!"
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.","Jamie, I would love to have you on the podcast if you're ever in LA!","Jamie, thank you for coming out to @TheComedyStore tonight! I had a great fucking time!"
joerogan,"Jamie,","Jamie, you silly bitches! Let's do this shit!","Jamie, I would love to have you on!","Jamie, let me know when you're going to be in LA and we'll hook you up"
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.","Jamie, I would LOVE to have you on my podcast if you're ever in LA!","Jamie, thanks for coming to the show! I really appreciate the fuck out of you guys!"
joerogan,"Jamie,","Jamie, you fucking savages! Let's do this shit!","Jamie, I had a great time talking to you on the podcast today!","Jamie, let’s do it!"
