Target,Prompt,Tweets,Tweets,Tweets
SenSanders,"Mr. President,","Mr. President, let me be as blunt as I can: The American people are sick and tired of the greed of Wall Street. They want a government that works for all people, not just the top 1%.","Mr. President, let me be as blunt as I can: The American people are sick and tired of the greed of Wall Street. They want a government that works for all people, not just the top 1%.","Mr. President, I want to congratulate the U.S. Postal Service for making it easier for people to send money in and out of the United States."
SenSanders,"Mr. President,","Mr. President, let’s stop this from happening again.","Mr. President, let’s stop this from happening again.","Mr. President, I am proud to be a member of the U.S. Senate. I will do everything I can to ensure that the American people have the best health care system in the world."
SenSanders,"Mr. President,","Mr. President, let me tell you a very simple story. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.","Mr. President, let me tell you a very simple story. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.","Mr. President, I want to hear from you what you think about the U.S. foreign policy."
SenSanders,"Mr. President,","Mr. President, let me tell you what we are doing. We are taking on the greed of the pharmaceutical industry.","Mr. President, let me tell you what we are doing. We are taking on the greed of the pharmaceutical industry.","Mr. President, let me tell you what it is like to live in a country that does not have a Supreme Court justice."
SenSanders,"Mr. President,","Mr. President, we will not balance the budget on the backs of disabled #veterans. #budget #fiscalcliff","Mr. President, we will not balance the budget on the backs of disabled #veterans. #budget #fiscalcliff","Mr. President, I want to congratulate you on your strong leadership in the fight against climate change."
SenSanders,"Mr. President,","Mr. President, let me be clear. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.","Mr. President, let me be clear. The American people are sick and tired of endless wars. They want a government that works for all, not just the top 1%.","Mr. President, I want to congratulate all of you on the work that you are doing to make it easier for people to participate in the political process."
SenSanders,"Mr. President,","Mr. President, let me begin by saying it again. The American people are sick and tired of being told they can't go to a doctor because they have a pre-existing condition.","Mr. President, let me begin by saying it again. The American people are sick and tired of being told they can't go to a doctor because they have a pre-existing condition.","Mr. President, let me ask you a question. Do you think that the U.S. should be involved in the global fight against climate change? Answer here:"
SenSanders,"Mr. President,","Mr. President, let me tell you a lie. You can't be an American company only when you want a massive bailout from the American people. #Budget #FiscalCliff","Mr. President, let me tell you a lie. You can't be an American company only when you want a massive bailout from the American people. #Budget #FiscalCliff","Mr. President, we need to make it easier for people to participate in the political process."
SenSanders,"Mr. President,","Mr. President, we are not going to balance the budget on the backs of the elderly, the sick and the poor. We have got to raise the minimum wage to a living wage of $15 an hour.","Mr. President, we are not going to balance the budget on the backs of the elderly, the sick and the poor. We have got to raise the minimum wage to a living wage of $15 an hour.","Mr. President, I want to congratulate you on your strong response to the crisis in Ukraine."
SenSanders,"Mr. President,","Mr. President, let me be clear. We have got to end the use of torture. It’s time for the U.S. government to join the rest of the industrialized world and guarantee the right to a life, medical care, and education for all of these people.","Mr. President, let me be clear. We have got to end the use of torture. It’s time for the U.S. government to join the rest of the industrialized world and guarantee the right to a life, medical care, and education for all of these people.","Mr. President, let me say to our young people: We need you to lead the world in the fight against climate change, not the fossil fuel industry."
