Target,Prompt,Tweets,Tweets,Tweets
hankgreen,"Dear John,","Dear John, I don't know what you're doing.","Dear John, I have a friend who lives in Missoula, Montana. He is a huge fan of mine.","Dear John, I have a friend who lives in Missoula, Montana. He is a huge fan of mine."
hankgreen,"Dear John,","Dear John, I am so proud of you.","Dear John, I am so fucking mad.","Dear John, I am so fucking mad."
hankgreen,"Dear John,","Dear John, I would like to ask you a favor.","Dear John, I have a friend who is working on a book and I don't know what to do with it.","Dear John, I have a friend who is working on a book and I don't know what to do with it."
hankgreen,"Dear John,","Dear John, I would like to ask you a few questions.","Dear John, I am so mad at you.","Dear John, I am so mad at you."
hankgreen,"Dear John,","Dear John, I have a question for you.","Dear John, I’m really looking forward to this.","Dear John, I’m really looking forward to this."
hankgreen,"Dear John,","Dear John, I would like to invite you to a party.","Dear John, I have no idea what you're talking about.","Dear John, I have no idea what you're talking about."
hankgreen,"Dear John,","Dear John, I would like to invite you to a party.","Dear John, I am going to be in Missoula for the first time in a few weeks.","Dear John, I am going to be in Missoula for the first time in a few weeks."
hankgreen,"Dear John,","Dear John, I'm going to need you to help me make a video about something I love.","Dear John, I just had a really good idea for a video I'm working on:","Dear John, I just had a really good idea for a video I'm working on:"
hankgreen,"Dear John,","Dear John, I would like to ask you a favor.","Dear John, I’m tired.","Dear John, I’m tired."
hankgreen,"Dear John,","Dear John, I am so proud of you.","Dear John, I’m worried about you.","Dear John, I’m worried about you."
